price,link
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
"$239,000",https://www.redfin.com/city/6208/FL/Fort-Myers
